left_video,right_video,left_video_desc,right_video_descr,left_locks,left_color,right_color,right_locks,lock_diff_on_left,left_timer,right_timer,
https://dl.dropbox.com/s/szz38xcda44ap90/scene2-converted.mp4?dl=0,https://dl.dropbox.com/s/szz38xcda44ap90/scene2-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,1,0,3,0,
https://dl.dropbox.com/s/r09p2kd3tvj4gnf/scene6-converted.mp4?dl=0,https://dl.dropbox.com/s/r09p2kd3tvj4gnf/scene6-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,1,0,3,3,
https://dl.dropbox.com/s/fb6frbrizbtumjc/scene10-converted.mp4?dl=0,https://dl.dropbox.com/s/fb6frbrizbtumjc/scene10-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,2,-1,3,6,
https://dl.dropbox.com/s/lxtuzxgjxi8adh9/scene7-converted.mp4?dl=0,https://dl.dropbox.com/s/lxtuzxgjxi8adh9/scene7-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,2,-1,3,0,
https://dl.dropbox.com/s/n71131ao870ykd5/scene5-converted.mp4?dl=0,https://dl.dropbox.com/s/n71131ao870ykd5/scene5-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,2,-1,3,3,
https://dl.dropbox.com/s/t8bi0w82iajrhfh/scene4-converted.mp4?dl=0,https://dl.dropbox.com/s/t8bi0w82iajrhfh/scene4-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,3,-2,3,6,
https://dl.dropbox.com/s/ibkow274wwcln0y/scene1-converted.mp4?dl=0,https://dl.dropbox.com/s/ibkow274wwcln0y/scene1-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,3,-2,3,0,
https://dl.dropbox.com/s/0usmjwr443told7/scene9-converted.mp4?dl=0,https://dl.dropbox.com/s/0usmjwr443told7/scene9-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,3,-2,3,3,
https://dl.dropbox.com/s/6cho84m6120leoi/scene3-converted.mp4?dl=0,https://dl.dropbox.com/s/6cho84m6120leoi/scene3-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,3,-2,3,6,
https://dl.dropbox.com/s/inzovfv220l1vpw/scene8-converted.mp4?dl=0,https://dl.dropbox.com/s/inzovfv220l1vpw/scene8-converted.mp4?dl=0,"Natural scene ","Natural scene ",1,pink,green,3,-2,3,0,
